provider,category,url,frontend,registration_open,payment_enabled,subscription_enabled,available_channels,free_offer,price_basis,cheapest_published,rate_card_published,reach_3_rounds,evidence,source_quality
Nagora,relay,https://nagora.ai,sub2api,yes,yes,no,no,none published,unknown (login),UNKNOWN,no,3/3,nagora.ai landing + /api/v1/settings/public,UNKNOWN
Qiniu AI,cloud MaaS,https://www.qiniu.com,custom (Qiniu Cloud),yes,yes,yes,unknown,3M tokens (developers) / 12M (enterprise),"credit plan, base 0.004 CNY/K tokens",Enterprise S CNY2999/mo (~1.07B credits),yes (3 enterprise tiers),3/3,qiniu.com/ai/plan; qiniu.com/ai/models,VERIFIED
FennoAI,relay,https://api.fenno.ai,sub2api,yes,yes,no,yes,$50 credit for $1.99,unknown (login),UNKNOWN,no,3/3,api.fenno.ai landing + /api/v1/settings/public,ADVERTISED
LanoX,relay,https://lanox.ai,custom,unknown,unknown,unknown,unknown,NVIDIA free; trial tokens; 500+ free models,per-model official rate x discount (1 : 0.167),0.167x average; 83.3% off ChatGPT/Gemini,"yes (per-model, official side-by-side)",3/3,lanox.ai/model-access,VERIFIED
hao.ai,relay,https://hao.ai,custom/Next.js,unknown,unknown,unknown,unknown,none published,per-model official rate x multiplier,"0.15x (GPT-6 Astra, Sol, Terra, Grok); 0.30x Luna","yes (20 models, official side-by-side)",3/3,hao.ai/models,VERIFIED
APIMart,image/video API,https://go.apimart.ai,Next.js custom,unknown,pay-as-you-go,no,unknown,none published,"per image / per video, 20% off listed",$0.0085 GPT Image 2; $0.015 Grok Imagine 1.5,yes (per-model),3/3,apimart.ai/model,VERIFIED
PP.dog,relay / upstream pool,https://pp.dog,sub2api,yes,yes,yes,no,none published,unknown (login),UNKNOWN (advertised combined 0.03x = '0.35% of official'),no,3/3,pp.dog landing + /api/v1/settings/public,ADVERTISED
Bestproxy,proxy infra,https://bestproxy.com,custom,unknown,pay-as-you-go,no,n/a,free trial,per GB / per IP,"UNKNOWN (starts at, price JS-gated)",partial,3/3,bestproxy.com landing,UNKNOWN
Veilx,CDN infra,https://veilx.io,custom,unknown,yes,yes,n/a,none published,per month tier,"$12/mo entry (5 sites, 100 GB)",yes (4 tiers),3/3,veilx.io/pricing/,VERIFIED
RoxyBrowser,antidetect browser,https://roxybrowser.com,custom,unknown,yes,yes,n/a,free trial,per video / subscription,$3.00-5.00/video tiers,yes,3/3,roxybrowser.com/pricing,VERIFIED
Proxy4Free,proxy infra,https://www.proxy4free.com,custom,unknown,yes,yes,n/a,none published,per GB,"UNKNOWN (73.6% off banner, price JS-gated)",partial,3/3,proxy4free.com/pricing/residential/,UNKNOWN
RapidProxy,proxy infra,https://www.rapidproxy.io,custom,unknown,yes,yes,n/a,free trial,per GB / per IP/mo,$0.55/GB; $5/IP/mo static,yes,3/3,rapidproxy.io/residential-proxies/pricing,VERIFIED
Swiftproxy,proxy infra,https://www.swiftproxy.net,custom,unknown,yes,yes,n/a,free testing,per GB,UNKNOWN,no,0/3 (403 via proxy),swiftproxy.net/pricing -> HTTP 403 via reverse proxy,UNKNOWN
DuckIP,proxy infra,https://www.duckip.cn,custom,unknown,yes,yes,n/a,500M free trial,per GB / per hour / per IP,UNKNOWN (CNY figure JS-gated),partial,3/3,duckip.cn/buy/residential-proxy/,UNKNOWN
AxisNow,CDN infra,https://www.axisnow.io,custom,unknown,yes,yes,n/a,none published,per domain/month + device add-on,$5/domain/mo Business; +$500/mo per 1000 devices,yes,3/3,axisnow.io/pricing,VERIFIED
ColaProxy,proxy infra,https://colaproxy.com,custom,unknown,yes,yes,n/a,200MB free trial residential; 3-day datacenter,per GB / per proxy,$1.6/GB residential; $4.52/proxy datacenter,yes,3/3,colaproxy.com/pricing,VERIFIED
