provider_id,name,api,plan_priced_models,total_models,sample_models
zhipuai-coding-plan,Zhipu AI Coding Plan,https://open.bigmodel.cn/api/coding/paas/v4,3,4,glm-5.3; glm-5.3-flash; glm-5.3-highspeed
llmgateway,DevPass (LLM Gateway),https://api.llmgateway.io/v1,3,193,atria-dawn-preview; auto; custom
lmstudio,LMStudio,http://127.0.0.1:1234/v1,3,3,openai/gpt-oss-20b; qwen/qwen3-30b-a3b-2507; qwen/qwen3-coder-30b
bothub,Bothub,https://openai.bothub.ru/v1,2,8,gemma-4-31b-it:free; nemotron-3-ultra-550b-a55b:free
nano-gpt,NanoGPT,https://nano-gpt.com/api/v1,2,577,auto-model; nano-gpt-help
nova,Nova,https://api.nova.amazon.com/v1,2,2,nova-2-lite-v1; nova-2-pro-v1
alibaba-cn,Alibaba (China),https://dashscope.aliyuncs.com/compatible-mode/v1,2,90,deepseek-r1-distill-llama-8b; deepseek-r1-distill-qwen-1-5b
ovhcloud,OVHcloud AI Endpoints,https://oai.endpoints.kepler.ai.cloud.ovh.net/v1,2,14,qwen3guard-gen-0.6b; qwen3guard-gen-8b
google,Google,,2,39,lyria-3-clip-preview; lyria-3-pro-preview
zhipuai,Zhipu AI,https://open.bigmodel.cn/api/paas/v4,2,16,glm-4.5-flash; glm-4.7-flash
agnes,Agnes AI,https://apihub.agnes-ai.com/v1,2,3,agnes-2.0-flash; agnes-2.5-flash
hetzner,Hetzner,https://inference.hetzner.com/api/v1,2,2,Qwen/Qwen3.6-35B-A3B-FP8; Qwen3.8-27B
zai,Z.AI,https://api.z.ai/api/paas/v4,2,17,glm-4.5-flash; glm-4.7-flash
tencent-tokenhub,Tencent TokenHub,https://tokenhub.tencentmaas.com/v1,2,3,hy3; hy3-preview
cortecs,Cortecs,https://api.cortecs.ai/v1,2,106,qwen3guard-gen-0.6b; qwen3guard-gen-8b
llmgateway-providers,LLM Gateway,https://api.llmgateway.io/v1,1,402,atria/atria-dawn-preview
groq,Groq,,1,16,allam-2-7b
zeldoc,Zeldoc,https://api.zeldoc.ai/v1,1,1,zdev
llmtr,LLMTR,https://llmtr.com/v1,1,32,poolside/laguna-xs-2.1
huggingface,Hugging Face,https://router.huggingface.co/v1,1,77,zai-org/GLM-4.7-Flash
jiekou,Jiekou.AI,https://api.jiekou.ai/openai,1,61,xiaomimimo/mimo-v2-flash
tokenrouter,TokenRouter,https://api.tokenrouter.com/v1,1,1,z-ai/glm-5.3-free
standardcompute,Standard Compute,https://api.stdcmpt.com/v1,1,1,standardcompute
infomaniak,Infomaniak,https://api.infomaniak.com/2/ai/${INFOMANIAK_PRODUCT_ID}/openai/v1,1,10,mini_lm_l12_v2
merge-gateway,Merge Gateway,https://api-gateway.merge.dev/v1/ai-sdk,1,187,nvidia/nemotron-3.5-lightning-30b-a3b
kuae-cloud-coding-plan,KUAE Cloud Coding Plan,https://coding-plan-endpoint.kuaecloud.net/v1,1,1,GLM-4.7
amd,AMD,https://developer.amd.com.cn/radeon/api/v1,1,6,Qwen3.8-27B
meganova,Meganova,https://api.meganova.ai/v1,1,19,mistralai/Mistral-Small-3.2-24B-Instruct-2506
cohere,Cohere,,1,14,north-mini-code-1-0
mistral,Mistral,,1,35,labs-devstral-small-2512
opencode-go,OpenCode Go,https://opencode.ai/zen/go/v1,1,36,ox-alpha-free
tencent-token-plan,Tencent Token Plan,https://api.lkeap.cloud.tencent.com/plan/v3,1,2,hy3
lynkr,Lynkr,http://127.0.0.1:8081/v1,1,1,lynkr-auto
